feature,importance_mean,importance_std
"cat__lat_long_34.065875, -118.238728",0.0,0.0
"cat__lat_long_34.066303, -118.435479",0.0,0.0
"cat__lat_long_34.066367, -118.309868",0.0,0.0
"cat__lat_long_34.066964, -117.937007",0.0,0.0
"cat__lat_long_34.067699, -116.903891",0.0,0.0
"cat__lat_long_34.067932, -117.785168",0.0,0.0
"cat__lat_long_34.070291, -118.349191",0.0,0.0
"cat__lat_long_34.072121, -117.698319",0.0,0.0
"cat__lat_long_34.072945, -118.37267",0.0,0.0
"cat__lat_long_34.074087, -117.605618",0.0,0.0
"cat__lat_long_34.074492, -118.01462",0.0,0.0
"cat__lat_long_34.074572, -118.831181",0.0,0.0
"cat__lat_long_34.074736, -118.145959",0.0,0.0
"cat__lat_long_34.076259, -118.310715",0.0,0.0
"cat__lat_long_34.078821, -118.177576",0.0,0.0
"cat__lat_long_34.078991, -118.263804",0.0,0.0
"cat__lat_long_34.024405, -117.898722",0.0,0.0
"cat__lat_long_34.019323, -118.391902",0.0,0.0
"cat__lat_long_34.567058, -117.362329",0.0,0.0
"cat__lat_long_33.940884, -118.128628",0.0,0.0
"cat__lat_long_33.929812, -116.76058",0.0,0.0
"cat__lat_long_33.930199, -117.862898",0.0,0.0
"cat__lat_long_33.930931, -117.361788",0.0,0.0
"cat__lat_long_33.933565, -118.062611",0.0,0.0
"cat__lat_long_33.936291, -118.332639",0.0,0.0
"cat__lat_long_33.936298, -116.849577",0.0,0.0
"cat__lat_long_33.936827, -118.359824",0.0,0.0
"cat__lat_long_33.940619, -117.9513",0.0,0.0
"cat__lat_long_33.942895, -117.725644",0.0,0.0
"cat__lat_long_33.927254, -118.249826",0.0,0.0
"cat__lat_long_33.944624, -118.192615",0.0,0.0
"cat__lat_long_33.945318, -117.992066",0.0,0.0
"cat__lat_long_33.946982, -116.977672",0.0,0.0
"cat__lat_long_33.947305, -118.439841",0.0,0.0
"cat__lat_long_33.948558, -116.516976",0.0,0.0
"cat__lat_long_33.949255, -118.246978",0.0,0.0
"cat__lat_long_33.952714, -118.292061",0.0,0.0
"cat__lat_long_33.954017, -118.402447",0.0,0.0
"cat__lat_long_33.929704, -118.01208",0.0,0.0
"cat__lat_long_33.925833, -117.559639",0.0,0.0
"cat__lat_long_34.018354, -117.85492",0.0,0.0
"cat__lat_long_33.9108, -117.398153",0.0,0.0
